HG02717.2	HG02717#2#JAHAOR010000061.1:24113909-24313494
HG02723.1	HG02723#1#JAHEOU010000100.1:4815975-4989194
HG02723.2	HG02723#2#JAHEOT010000107.1:24115953-24289175
HG02818.1	HG02818#1#JAHEOS010000026.1:3267284-3440504
HG02818.2	HG02818#2#JAHEOR010000019.1:17775905-17949124
HG02886.1	HG02886#1#JAHAOU010000006.1:23380524-23553743
HG02886.2	HG02886#2#JAHAOT010000003.1:26581560-26734389
HG03098.1	HG03098#1#JAHEPM010000086.1:23520048-23693270
HG03098.2	HG03098#2#JAHEPL010000070.1:23471890-23624719
HG03453.1	HG03453#1#JAGYVW010000148.1:2329409-2502630
HG03453.2	HG03453#2#JAGYVV010000230.1:3192857-3345686
HG03486.1	HG03486#1#JAHEOQ010000034.1:24213068-24386288
HG03486.2	HG03486#2#JAHEOP010000002.1:3196568-3369790
HG03492.1	HG03492#1#JAHEPI010000049.1:16745672-16931235
HG03492.2	HG03492#2#JAHEPH010000100.1:3197689-3371026
HG03516.1	HG03516#1#JAGYYT010000073.1:23983461-24156681
HG03516.2	HG03516#2#JAGYYS010000003.1:32037442-32210664
HG03540.1	HG03540#1#JAGYVY010000082.1:17820257-18019842
HG03540.2	HG03540#2#JAGYVX010000013.1:24187246-24366833
HG03579.1	HG03579#1#JAGYVU010000035.1:17797637-17970859
HG03579.2	HG03579#2#JAGYVT010000002.1:3256326-3429546
NA18906.1	NA18906#1#JAHEOO010000017.1:29241786-29415005
NA18906.2	NA18906#2#JAHEON010000020.1:24221734-24394954
NA19240.1	NA19240#1#JAHEOM010000153.1:2308865-2482085
NA19240.2	NA19240#2#JAHEOL010000047.1:3267930-3467523
NA20129.1	NA20129#1#JAHEPE010000077.1:3190244-3363464
NA20129.2	NA20129#2#JAHEPD010000054.1:23992206-24165424
NA21309.1	NA21309#1#JAHEPC010000026.1:3201470-3374691
NA21309.2	NA21309#2#JAHEPB010000021.1:3104084-3277302
T2T-CHM13v2.1	T2T-CHM13v2#1#6:31798842-31960826
